time, Quad.Est.E.Pos, Quad.Est.S.Z
3.424934,0.086135,0.189550
3.429934,0.085649,0.189710
3.434933,0.084918,0.189952
3.439933,0.084423,0.190114
3.444933,0.083664,0.190358
3.449932,0.083180,0.190521
3.454932,0.082453,0.190768
3.459932,0.081987,0.190933
3.464931,0.081247,0.191182
3.469931,0.080769,0.191348
3.474931,0.080017,0.191599
3.479930,0.079515,0.191768
3.484930,0.078771,0.192021
3.489929,0.078263,0.192191
3.494929,0.077522,0.192448
3.499929,0.077093,0.192619
3.504928,0.097923,0.188154
3.509928,0.097874,0.188312
3.514928,0.097831,0.188550
3.519927,0.097798,0.188710
3.524927,0.097750,0.188950
3.529927,0.097721,0.189111
3.534926,0.097625,0.189354
3.539926,0.097538,0.189517
3.544925,0.097434,0.189762
3.549925,0.097360,0.189926
3.554925,0.097239,0.190174
3.559924,0.097146,0.190339
3.564924,0.096992,0.190589
3.569924,0.096883,0.190757
3.574923,0.096688,0.191009
3.579923,0.096535,0.191178
3.584923,0.096295,0.191433
3.589922,0.096094,0.191604
3.594922,0.095810,0.191861
3.599921,0.095624,0.192034
3.604921,0.138258,0.187592
3.609921,0.137701,0.187751
3.614920,0.136916,0.187990
3.619920,0.136418,0.188150
3.624920,0.135602,0.188392
3.629919,0.135063,0.188554
3.634919,0.134206,0.188798
3.639919,0.133640,0.188961
3.644918,0.132772,0.189207
3.649918,0.132224,0.189372
3.654917,0.131363,0.189621
3.659917,0.130837,0.189788
3.664917,0.129981,0.190039
3.669916,0.129270,0.190207
3.674916,0.128352,0.190460
3.679916,0.127595,0.190630
3.684915,0.126637,0.190886
3.689915,0.126054,0.191058
3.694915,0.125087,0.191316
3.699914,0.124473,0.191489
3.704914,0.163958,0.187069
3.709913,0.163725,0.187229
3.714913,0.163248,0.187469
3.719913,0.162828,0.187630
3.724912,0.162373,0.187872
3.729912,0.162077,0.188035
3.734912,0.161668,0.188280
3.739911,0.161411,0.188444
3.744911,0.161048,0.188691
3.749911,0.160766,0.188857
3.754910,0.160345,0.189107
3.759910,0.160070,0.189274
3.764910,0.159696,0.189526
3.769909,0.159516,0.189695
3.774909,0.159091,0.189950
3.779908,0.158988,0.190120
3.784908,0.158611,0.190377
3.789908,0.158360,0.190549
3.794907,0.157978,0.190809
3.799907,0.157769,0.190983
3.804907,0.114776,0.186582
3.809906,0.114445,0.186743
3.814906,0.114085,0.186984
3.819906,0.113793,0.187145
3.824905,0.113425,0.187389
3.829905,0.113071,0.187552
3.834904,0.112728,0.187798
3.839904,0.112467,0.187963
3.844904,0.112114,0.188211
3.849903,0.111881,0.188378
3.854903,0.111504,0.188628
3.859903,0.111254,0.188796
3.864902,0.110865,0.189049
3.869902,0.110542,0.189219
3.874902,0.110134,0.189474
3.879901,0.110005,0.189646
3.884901,0.109600,0.189904
3.889900,0.109134,0.190077
3.894900,0.108699,0.190337
3.899900,0.108579,0.190511
3.904899,0.112203,0.186129
3.909899,0.111995,0.186290
3.914899,0.111705,0.186532
3.919898,0.111498,0.186695
3.924898,0.111191,0.186939
3.929898,0.111009,0.187103
3.934897,0.110684,0.187350
3.939897,0.110468,0.187515
3.944896,0.110152,0.187764
3.949896,0.109972,0.187931
3.954896,0.109678,0.188183
3.959895,0.109583,0.188352
3.964895,0.109307,0.188606
3.969895,0.109078,0.188776
3.974894,0.108776,0.189032
3.979894,0.108747,0.189204
3.984894,0.108465,0.189463
3.989893,0.108339,0.189637
3.994893,0.108044,0.189898
3.999892,0.107956,0.190073
4.004892,0.142437,0.185708
4.009892,0.142325,0.185869
4.014892,0.141896,0.186112
4.019891,0.141554,0.186275
4.024891,0.141077,0.186520
4.029891,0.140757,0.186685
4.034890,0.140256,0.186932
4.039890,0.139922,0.187098
4.044889,0.139435,0.187349
4.049889,0.139078,0.187516
4.054889,0.138532,0.187769
4.059888,0.138163,0.187938
4.064888,0.137606,0.188193
4.069888,0.137277,0.188364
4.074887,0.136682,0.188621
4.079887,0.136243,0.188794
4.084887,0.135590,0.189053
4.089886,0.134951,0.189228
4.094886,0.134272,0.189490
4.099885,0.133789,0.189666
4.104885,0.151336,0.185315
4.109885,0.150941,0.185477
4.114884,0.150326,0.185721
4.119884,0.149919,0.185884
4.124884,0.149285,0.186131
4.129883,0.148803,0.186296
4.134883,0.148109,0.186544
4.139883,0.147608,0.186711
4.144882,0.146848,0.186962
4.149882,0.146308,0.187130
4.154881,0.145506,0.187383
4.159881,0.144990,0.187553
4.164881,0.144174,0.187809
4.169880,0.143667,0.187980
4.174880,0.142841,0.188238
4.179880,0.142296,0.188411
4.184879,0.141439,0.188672
4.189879,0.140718,0.188847
4.194879,0.139742,0.189110
4.199878,0.139114,0.189286
4.204878,0.212103,0.184950
4.209877,0.211783,0.185112
4.214877,0.211290,0.185357
4.219877,0.210983,0.185521
4.224876,0.210437,0.185768
4.229876,0.210107,0.185933
4.234876,0.209479,0.186183
4.239875,0.209023,0.186350
4.244875,0.208305,0.186602
4.249875,0.207821,0.186770
4.254874,0.207041,0.187024
4.259874,0.206481,0.187195
4.264874,0.205711,0.187451
4.269873,0.205201,0.187623
4.274873,0.204402,0.187882
4.279872,0.203840,0.188056
4.284872,0.203021,0.188317
4.289872,0.202657,0.188492
4.294871,0.201892,0.188756
4.299871,0.201244,0.188933
4.304871,0.164780,0.184609
4.309870,0.164408,0.184772
4.314870,0.163779,0.185018
4.319870,0.163196,0.185182
4.324869,0.162471,0.185430
4.329869,0.162005,0.185596
4.334868,0.161159,0.185846
4.339868,0.160577,0.186014
4.344868,0.159687,0.186266
4.349867,0.159100,0.186435
4.354867,0.158149,0.186690
4.359867,0.157530,0.186861
4.364866,0.156565,0.187118
4.369866,0.155843,0.187291
4.374866,0.154866,0.187551
4.379865,0.154119,0.187725
4.384865,0.153201,0.187987
4.389864,0.152581,0.188163
4.394864,0.151597,0.188427
4.399864,0.151011,0.188605
4.404863,0.163174,0.184293
4.409863,0.162931,0.184456
4.414863,0.162313,0.184702
4.419862,0.161830,0.184867
4.424862,0.161139,0.185116
4.429862,0.160706,0.185282
4.434861,0.159918,0.185533
4.439861,0.159371,0.185701
4.444860,0.158504,0.185954
4.449860,0.157933,0.186124
4.454860,0.157055,0.186379
4.459859,0.156337,0.186551
4.464859,0.155306,0.186809
4.469859,0.154610,0.186982
4.474858,0.153550,0.187242
4.479858,0.152947,0.187417
4.484858,0.151930,0.187680
4.489857,0.151521,0.187856
4.494857,0.150570,0.188121
4.499856,0.150169,0.188299
4.504856,0.107997,0.183998
4.509856,0.107354,0.184162
4.514855,0.106369,0.184408
4.519855,0.105750,0.184574
4.524855,0.104736,0.184823
4.529854,0.104054,0.184990
4.534854,0.103041,0.185241
4.539854,0.102345,0.185410
4.544853,0.101285,0.185664
4.549853,0.100574,0.185834
4.554852,0.099522,0.186090
4.559852,0.098794,0.186262
4.564852,0.097744,0.186520
4.569851,0.096962,0.186694
4.574851,0.095908,0.186955
4.579851,0.095178,0.187130
4.584850,0.094098,0.187393
4.589850,0.093287,0.187570
4.594850,0.092161,0.187836
4.599849,0.091415,0.188014
4.604849,0.147201,0.183723
4.609848,0.146570,0.183887
